アクティビティID,アクティビティ実行日,アクティビティ名,アクティビティタイプ,アクティビティの説明,経過時間,距離,最大心拍数,相対的エフォート,通勤,アクティビティギア,ファイル名,アスリート体重,自転車重量,経過時間,移動時間,距離,最高速度,平均速度,獲得標高,獲得標高（下り）,最低標高,最高標高,最大勾配,平均勾配,平均プラス勾配,平均マイナス勾配,最大ケイデンス,平均ケイデンス,最大心拍数,平均心拍数,最大ワット,平均ワット,カロリー,最高気温,平均気温,相対的エフォート,合計運動量,ラン数,上り坂のタイム,下り坂のタイム,その他のタイム,主観的運動強度,"<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",加重平均パワー,パワーカウント,主観的運動強度を使用する,主観的相対的エフォート,通勤,総重量,アップロードより,Grade Adjusted Pace,観測時刻,天候,平均気温,体感温度,露点,湿度,気圧,風速,瞬間風速,風向,降水量,日の入,日の出,月齢,自転車,ギア,降水確率,降水タイプ,雲量,視程,UV指数,オゾン情報,"<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
7430447429,2022/07/07 14:56:33,夜のランニング,ランニング,,1280,3.43,,,false,,activities/7430447429.gpx,,,1280.0,1280.0,3431.2900390625,4.493994235992432,2.6806952953338623,0.0,0.0,4.199999809265137,5.300000190734863,2.572864294052124,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3433.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.6806952953338623,0.0,,,
7445991866,2022/07/10 13:03:18,夜のランニング,ランニング,,1378,3.77,,,false,,activities/7445991866.gpx,,,1378.0,1378.0,3771.610107421875,3.7920165061950684,2.7370173931121826,0.0,0.0,4.199999809265137,5.300000190734863,1.3328994512557983,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3773.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.7370173931121826,12.300000190734863,,,
7451195483,2022/07/11 13:25:03,夜のランニング,ランニング,,1806,4.56,,,false,,activities/7451195483.gpx,,,1806.0,1806.0,4562.2900390625,3.8309998512268066,2.5261850357055664,0.0,-0.10000000149011612,4.199999809265137,5.300000190734863,1.4930922985076904,0.002191881649196148,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4564.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.5261850357055664,121.0,,,
7457058573,2022/07/12 14:50:13,夜のランニング,ランニング,,1818,4.60,,,false,,activities/7457058573.gpx,,,1818.0,1814.0,4601.89013671875,4.374000072479248,2.536874294281006,0.0,0.30000001192092896,4.199999809265137,5.300000190734863,1.9065794944763184,-0.006519060581922531,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4603.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.531292676925659,95.69999694824219,,,
7462278864,2022/07/13 13:21:51,夜のランニング,ランニング,,1868,4.73,,,false,,activities/7462278864.gpx,,,1868.0,1865.0,4729.3798828125,4.354000091552734,2.535860538482666,0.0,0.20000000298023224,4.199999809265137,5.300000190734863,1.6286282539367676,-0.004228884354233742,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4730.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.531787872314453,54.29999923706055,,,
7473190061,2022/07/15 14:15:13,夜のランニング,ランニング,,1251,3.38,,,false,,activities/7473190061.gpx,,,1251.0,1251.0,3381.43994140625,3.7660155296325684,2.7029895782470703,0.0,0.0,4.400000095367432,5.300000190734863,1.4347010850906372,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3382.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.7029895782470703,115.0,,,
7494362786,2022/07/19 14:19:43,夜のランニング,ランニング,,1459,3.78,,,false,,activities/7494362786.gpx,,,1459.0,1456.0,3785.659912109375,4.021999835968018,2.600041151046753,0.0,0.0,4.199999809265137,5.300000190734863,1.477127194404602,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3787.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.5946948528289795,0.0,,,
7502786336,2022/07/21 3:43:13,ランチタイム ランニング,ランニング,,1845,5.02,,,false,,activities/7502786336.gpx,,,1845.0,1845.0,5026.10986328125,4.065000057220459,2.7241787910461426,0.0,0.20000000298023224,4.199999809265137,5.300000190734863,1.5432145595550537,-0.003979220520704985,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5027.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.7241787910461426,59.5,,,
7510212146,2022/07/22 13:53:40,夜のランニング,ランニング,,1877,5.01,,,false,,activities/7510212146.gpx,,,1877.0,1877.0,5014.4501953125,4.137988090515137,2.6715238094329834,0.0,0.20000000298023224,4.199999809265137,5.300000190734863,1.6386622190475464,-0.0039884732104837894,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5016.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.6715238094329834,58.5,,,
7512925940,2022/07/23 4:38:19,午後のランニング,ランニング,,1074,3.01,,,false,,activities/7512925940.gpx,,,1074.0,1071.0,3013.280029296875,4.772000312805176,2.8135201930999756,0.0,-0.10000000149011612,4.400000095367432,5.300000190734863,1.2560211420059204,0.003318642731755972,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3014.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.805661201477051,3.299999952316284,,,
7526475770,2022/07/25 14:52:47,夜のランニング,ランニング,,1876,5.01,,,false,,activities/7526475770.gpx,,,1876.0,1866.0,5013.330078125,8.362011909484863,2.6866719722747803,0.0,1.0,3.9000000953674316,6.0,3.9370229244232178,-0.01994682103395462,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5014.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.6723508834838867,66.80000305175781,,,
7531251330,2022/07/26 12:35:23,夜のランニング,ランニング,,1869,5.02,,,false,,activities/7531251330.gpx,,,1869.0,1869.0,5020.7998046875,4.5419921875,2.68635630607605,0.0,0.20000000298023224,4.199999809265137,5.300000190734863,1.6461037397384644,-0.003983429167419672,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5021.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.68635630607605,55.099998474121094,,,
7535980596,2022/07/27 9:13:55,夕方のランニング,ランニング,,1022,2.83,,,false,,activities/7535980596.gpx,,,1022.0,1022.0,2830.280029296875,4.123999118804932,2.7693543434143066,0.0,-0.4000000059604645,4.5,5.400000095367432,3.095975160598755,0.014132876880466938,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2831.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.7693543434143066,83.5,,,
7545695727,2022/07/28 23:50:59,朝のランニング,ランニング,,742,2.10,,,false,,activities/7545695727.gpx,,,742.0,742.0,2107.2900390625,4.18798828125,2.8400135040283203,0.0,1.2999999523162842,4.5,6.5,1.4482197761535645,-0.06169060617685318,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2105.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.8400135040283203,11.199999809265137,,,
7566856688,2022/08/01 22:26:42,朝のランニング,ランニング,,1566,4.12,,,false,,activities/7566856688.gpx,,,1566.0,1566.0,4122.72021484375,3.8239998817443848,2.632643699645996,3.0,3.0,4.199999809265137,7.300000190734863,3.4497532844543457,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4125.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.632643699645996,22.100000381469727,,,
